name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,season,opponent_name,opponent_short_name,opponent_code,opponent_strength,opponent_strength_overall_home,opponent_strength_overall_away,opponent_strength_attack_home,opponent_strength_attack_away,opponent_strength_defence_home,opponent_strength_defence_away,us_shots,us_id,us_season,us_roster_id,us_key_passes,us_npg,us_npxG,us_xGChain,us_xGBuildup,player_id,kickoff_time_dt,opp_dyn_attack,opp_dyn_defence,opp_dyn_overall
Tanaka Ao,MID,Leeds,0.0,0,0,3,0,0.0,358,0.0,0.0,0.0,0.06,186,0,0,0.0,0.0,2026-01-01T17:30:00Z,1,12,0,0,0,0,19,0,39376,0,0.0,0.0,0.0,1,-2112,1987,4099,48,False,0,19,2025-26,Liverpool,LIV,14,4,1230,1265,1170,1210,1290,1320,0.0,28963.0,2025.0,760733.0,0.0,0.0,0.0,0.0,0.0,13834.0,2026-01-01 17:30:00+00:00,1369.543449472034,974.6874140469388,1172.1154317594865
Trevoh Chalobah,DEF,Chelsea,0.0,0,0,8,0,2.8,226,0.02,0.24,0.22,3.14,184,2,0,3.0,18.4,2025-12-30T19:30:00Z,90,4,0,0,0,0,19,0,2454224,1,2.0,2.0,9.0,1,33463,121752,88289,56,True,0,19,2025-26,Bournemouth,BOU,91,3,1150,1220,1100,1240,1200,1200,1.0,28961.0,2025.0,760530.0,0.0,0.0,0.0858698040246963,0.5298470854759216,0.5298470854759216,6615.0,2025-12-30 19:30:00+00:00,1057.7275089224418,1203.8378071496354,1130.7826580360384
Youri Tielemans,MID,Aston Villa,0.0,0,0,15,0,12.1,48,0.01,0.01,0.0,2.43,181,4,0,2.5,9.2,2025-12-30T20:15:00Z,81,1,0,0,0,0,19,0,102936,1,1.0,4.0,4.0,2,6646,10185,3539,59,False,0,19,2025-26,Arsenal,ARS,3,5,1300,1375,1340,1400,1260,1350,0.0,28958.0,2025.0,760638.0,1.0,0.0,0.0,0.0572135634720325,0.0572135634720325,5956.0,2025-12-30 20:15:00+00:00,1296.8599280389633,1592.2494107392426,1444.5546693891029
Leny Yoro,DEF,Man Utd,0.0,0,0,5,0,0.8,444,0.0,0.0,0.0,0.05,187,0,0,0.6,5.6,2025-12-30T20:15:00Z,15,20,0,0,0,0,19,0,178183,0,1.0,1.0,0.0,1,-2869,2978,5847,43,True,0,19,2025-26,Wolves,WOL,39,3,1070,1085,1050,1050,1090,1120,0.0,28964.0,2025.0,760659.0,0.0,0.0,0.0,0.2319073975086212,0.2319073975086212,10564.0,2025-12-30 20:15:00+00:00,771.5462921685557,1135.2865190161847,953.4164055923702
Viktor Gyökeres,FWD,Arsenal,0.0,0,0,-3,1,0.6,666,0.01,0.25,0.24,0.67,181,0,0,1.4,0.0,2025-12-30T20:15:00Z,76,2,0,0,0,0,19,0,1249422,1,1.0,4.0,15.0,2,-34289,5964,40253,88,True,0,19,2025-26,Aston Villa,AVL,7,3,1145,1185,1150,1170,1140,1200,3.0,28958.0,2025.0,760625.0,0.0,0.0,0.6047936081886292,0.6047936081886292,0.0,7254.0,2025-12-30 20:15:00+00:00,957.3297404253269,1217.9106790999704,1087.6202097626485
José Malheiro de Sá,GK,Wolves,0.0,0,1,22,0,0.0,628,0.0,0.0,0.0,0.84,187,1,0,4.2,42.0,2025-12-30T20:15:00Z,90,14,0,0,0,0,19,5,121413,1,1.0,1.0,0.0,4,-1380,773,2153,42,False,0,19,2025-26,Man Utd,MUN,1,3,1135,1205,1100,1150,1170,1260,0.0,28964.0,2025.0,760662.0,0.0,0.0,0.0,0.0486481711268425,0.0486481711268425,9740.0,2025-12-30 20:15:00+00:00,1251.9729073601766,1039.7894894745868,1145.8811984173815
Josh King,MID,Fulham,0.0,0,0,0,0,0.0,335,0.0,0.0,0.0,0.0,185,0,0,0.0,0.0,2026-01-01T17:30:00Z,0,8,0,0,0,0,19,0,323510,0,1.0,1.0,0.0,0,-19262,4290,23552,45,False,0,19,2025-26,Crystal Palace,CRY,31,3,1165,1205,1150,1150,1180,1260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12410.0,2026-01-01 17:30:00+00:00,1262.3076253753316,1063.4603013587162,1162.883963367024
Marcus Edwards,MID,Burnley,0.0,0,0,8,0,37.3,206,0.1,0.38,0.28,2.31,183,3,0,8.6,14.0,2025-12-30T19:30:00Z,90,15,0,0,0,0,19,0,8402,1,3.0,1.0,35.0,2,306,656,350,47,True,0,19,2025-26,Newcastle,NEW,4,3,1160,1220,1170,1180,1150,1260,4.0,28960.0,2025.0,760505.0,3.0,0.0,0.6097212433815002,0.9916324019432068,0.2991262674331665,13730.0,2025-12-30 19:30:00+00:00,1113.0486582114797,1305.9986861734817,1209.5236721924807
Robert Lynch Sánchez,GK,Chelsea,0.0,0,0,14,0,0.0,220,0.0,0.0,0.0,3.14,184,2,0,3.9,39.4,2025-12-30T19:30:00Z,90,4,0,0,0,0,19,4,1916838,1,2.0,2.0,0.0,2,10255,43877,33622,49,True,0,19,2025-26,Bournemouth,BOU,91,3,1150,1220,1100,1240,1200,1200,0.0,28961.0,2025.0,760527.0,0.0,0.0,0.0,0.0326835215091705,0.0326835215091705,9098.0,2025-12-30 19:30:00+00:00,1057.7275089224418,1203.8378071496354,1130.7826580360384
Benjamin White,DEF,Arsenal,0.0,0,0,-1,0,10.3,11,0.01,0.01,0.0,2.0,181,1,0,1.3,3.0,2025-12-30T20:15:00Z,7,2,0,0,0,0,19,0,79888,0,1.0,4.0,0.0,1,-33351,40,33391,51,True,0,19,2025-26,Aston Villa,AVL,7,3,1145,1185,1150,1170,1140,1200,0.0,28958.0,2025.0,760630.0,1.0,0.0,0.0,0.0515135414898395,0.0,7298.0,2025-12-30 20:15:00+00:00,957.3297404253269,1217.9106790999704,1087.6202097626485
