name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,fpl_id,season,now_cost,opponent_name,opponent_short_name,opponent_code,opponent_strength,opponent_strength_overall_home,opponent_strength_overall_away,opponent_strength_attack_home,opponent_strength_attack_away,opponent_strength_defence_home,opponent_strength_defence_away,us_shots,us_id,us_season,us_roster_id,us_key_passes,us_npg,us_npxG,us_xGChain,us_xGBuildup,player_id,opp_dyn_attack,opp_dyn_defence,opp_dyn_overall,kickoff_time_dt
Bernardo Veiga de Carvalho e Silva,MID,Man City,2.3,0,0,7,0,13.3,344,0.02,0.02,0.0,2.46,277,1,0,2.4,10.6,2024-03-10T15:45:00Z,90,11,0,0,0,0,28,0,301092,1,1,1,0.0,1,-18133,4216,22349,62,False,1,28,344,2023-24,6.2,Liverpool,LIV,14,4,1240,1370,1210,1350,1270,1390,0.0,22171.0,2023.0,647479.0,1.0,0.0,0.0,0.0843148455023765,0.0319632962346077,3635.0,1617.2447701003055,1096.523033628497,1356.8839018644012,2024-03-10 15:45:00+00:00
Charlie Taylor,DEF,Burnley,0.3,0,0,13,0,2.3,178,0.0,0.01,0.01,1.82,279,2,0,1.7,9.8,2024-03-10T14:00:00Z,90,19,0,0,0,0,28,0,391699,1,2,2,5.0,1,-12050,6294,18344,40,False,0,28,178,2023-24,4.0,West Ham,WHU,21,3,1100,1145,1055,1140,1150,1150,1.0,22173.0,2023.0,647324.0,0.0,0.0,0.0097148064523935,0.0097148064523935,0.0,6044.0,772.8572697897392,990.3284594239343,881.5928646068368,2024-03-10 14:00:00+00:00
Adam Wharton,MID,Crystal Palace,3.3,0,0,10,1,22.3,807,0.05,0.05,0.0,0.66,276,0,0,3.2,10.0,2024-03-09T15:00:00Z,80,12,0,0,0,0,28,0,1194,1,1,1,0.0,3,65,190,125,50,True,0,28,807,2023-24,5.0,Luton,LUT,102,2,1055,1090,1020,1060,1090,1120,0.0,22170.0,2023.0,646662.0,2.0,0.0,0.0,0.1790657788515091,0.1276399940252304,12409.0,814.0883049573064,878.4612857992998,846.2747953783031,2024-03-09 15:00:00+00:00
Ivan Toney,FWD,Brentford,1.6,0,0,7,0,22.1,117,0.02,0.03,0.01,1.32,271,2,0,5.9,19.4,2024-03-09T17:30:00Z,90,1,0,0,0,0,28,0,785387,1,1,2,17.0,2,-303724,23434,327158,81,False,0,28,117,2023-24,8.1,Arsenal,ARS,3,5,1350,1365,1370,1370,1330,1360,1.0,22166.0,2023.0,646895.0,2.0,0.0,0.0079965693876147,0.1033286750316619,0.0538788735866546,998.0,1361.5319432637712,1716.864458218246,1539.1982007410086,2024-03-09 17:30:00+00:00
Benoît Badiashile,DEF,Chelsea,0.0,0,0,0,0,0.0,191,0.0,0.0,0.0,0.0,275,0,0,0.0,0.0,2024-03-11T20:00:00Z,0,15,0,0,0,0,28,0,6125,0,2,3,0.0,0,-372,7,379,44,True,0,28,191,2023-24,4.4,Newcastle,NEW,4,3,1105,1280,1050,1210,1160,1355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7240.0,961.7258120915749,1021.0246827167144,991.3752474041446,2024-03-11 20:00:00+00:00
Jarell Quansah,DEF,Liverpool,0.5,0,0,15,0,1.3,626,0.01,0.03,0.02,1.61,277,1,0,2.8,19.8,2024-03-10T15:45:00Z,90,13,0,0,0,0,28,0,17273,1,1,1,7.0,2,-810,490,1300,40,True,0,28,626,2023-24,4.0,Man City,MCI,43,5,1355,1365,1350,1360,1360,1370,1.0,22171.0,2023.0,647460.0,0.0,0.0,0.0244447272270917,0.576430082321167,0.5519853830337524,10187.0,1706.4847933375809,1304.4285669501792,1505.45668014388,2024-03-10 15:45:00+00:00
Tim Iroegbunam,MID,Aston Villa,0.8,0,0,4,0,0.1,46,0.0,0.0,0.0,0.68,272,2,0,0.4,3.6,2024-03-10T13:00:00Z,21,18,0,0,0,0,28,0,2386,0,4,0,0.0,1,-20,28,48,44,True,0,28,46,2023-24,4.4,Spurs,TOT,6,4,1170,1230,1110,1150,1230,1310,0.0,22167.0,2023.0,647134.0,0.0,0.0,0.0,0.0,0.0,9554.0,1059.1423046213056,826.6060219409555,942.8741632811306,2024-03-10 13:00:00+00:00
Carlos Baleba,MID,Brighton,1.0,0,0,13,1,12.7,690,0.01,0.1,0.09,0.68,274,0,0,2.0,2.4,2024-03-10T14:00:00Z,90,16,0,0,0,0,28,0,4904,1,0,1,5.0,3,-96,59,155,45,True,0,28,690,2023-24,4.5,Nott'm Forest,NFO,17,3,1065,1100,1050,1125,1080,1080,2.0,22168.0,2023.0,647218.0,1.0,0.0,0.1364218443632125,0.1340658813714981,0.1192889511585235,10527.0,1167.6187706717478,858.7805964859432,1013.1996835788455,2024-03-10 14:00:00+00:00
Pablo Sarabia,MID,Wolves,4.8,0,0,7,0,19.0,570,0.04,0.04,0.0,2.7,280,1,0,3.3,8.0,2024-03-09T15:00:00Z,90,10,0,0,0,0,28,0,56234,1,1,2,6.0,2,3493,9728,6235,47,True,0,28,570,2023-24,4.7,Fulham,FUL,54,3,1055,1175,1050,1180,1060,1170,0.0,22174.0,2023.0,646692.0,1.0,0.0,0.0,0.2326919734477996,0.2326919734477996,2199.0,782.9484104521284,822.055751759273,802.5020811057007,2024-03-09 15:00:00+00:00
Joelinton Cássio Apolinário de Lira,MID,Newcastle,0.0,0,0,0,0,0.0,416,0.0,0.0,0.0,0.0,275,0,0,0.0,0.0,2024-03-11T20:00:00Z,0,7,0,0,0,0,28,0,42118,0,2,3,0.0,0,-468,15,483,58,False,0,28,416,2023-24,5.8,Chelsea,CHE,8,3,1125,1190,1080,1150,1170,1230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,1334.9854052517396,980.6138319769576,1157.7996186143487,2024-03-11 20:00:00+00:00
